,date,Province_State,Confirmed,Deaths,Recovered,Active
0,2020-03-10,Alaska,0,0.0,0.0,0.0
1,2020-03-10,Arizona,6,0.0,1.0,5.0
2,2020-03-10,Arkansas,0,0.0,0.0,0.0
3,2020-03-10,California,144,2.0,2.0,140.0
4,2020-03-10,Colorado,15,0.0,0.0,15.0
5,2020-03-10,Connecticut,2,0.0,0.0,2.0
6,2020-03-10,Delaware,0,0.0,0.0,0.0
7,2020-03-10,District of Columbia,5,0.0,0.0,5.0
8,2020-03-10,Florida,15,2.0,0.0,13.0
9,2020-03-10,Georgia,17,0.0,0.0,17.0
10,2020-03-10,Grand Princess,21,0.0,0.0,21.0
11,2020-03-10,Hawaii,2,0.0,0.0,2.0
12,2020-03-10,Idaho,0,0.0,0.0,0.0
13,2020-03-10,Illinois,12,0.0,2.0,10.0
14,2020-03-10,Indiana,6,0.0,0.0,6.0
15,2020-03-10,Iowa,8,0.0,0.0,8.0
16,2020-03-10,Kansas,1,0.0,0.0,1.0
17,2020-03-10,Kentucky,6,0.0,0.0,6.0
18,2020-03-10,Louisiana,1,0.0,0.0,1.0
19,2020-03-10,Maine,0,0.0,0.0,0.0
20,2020-03-10,Maryland,8,0.0,0.0,8.0
21,2020-03-10,Massachusetts,92,0.0,1.0,91.0
22,2020-03-10,Michigan,0,0.0,0.0,0.0
23,2020-03-10,Minnesota,3,0.0,0.0,3.0
24,2020-03-10,Mississippi,0,0.0,0.0,0.0
25,2020-03-10,Missouri,1,0.0,0.0,1.0
26,2020-03-10,Montana,0,0.0,0.0,0.0
27,2020-03-10,Nebraska,3,0.0,0.0,3.0
28,2020-03-10,Nevada,4,0.0,0.0,4.0
29,2020-03-10,New Hampshire,4,0.0,0.0,4.0
30,2020-03-10,New Jersey,15,1.0,0.0,14.0
31,2020-03-10,New Mexico,0,0.0,0.0,0.0
32,2020-03-10,New York,173,0.0,0.0,173.0
33,2020-03-10,North Carolina,7,0.0,0.0,7.0
34,2020-03-10,North Dakota,0,0.0,0.0,0.0
35,2020-03-10,Ohio,3,0.0,0.0,3.0
36,2020-03-10,Oklahoma,2,0.0,0.0,2.0
37,2020-03-10,Oregon,15,0.0,0.0,15.0
38,2020-03-10,Pennsylvania,12,0.0,0.0,12.0
39,2020-03-10,Rhode Island,3,0.0,0.0,3.0
40,2020-03-10,South Carolina,7,0.0,0.0,7.0
41,2020-03-10,South Dakota,0,0.0,0.0,0.0
42,2020-03-10,Tennessee,7,0.0,0.0,7.0
43,2020-03-10,Texas,13,0.0,0.0,13.0
44,2020-03-10,Utah,2,0.0,0.0,2.0
45,2020-03-10,Vermont,1,0.0,0.0,1.0
