uniqid,zip,from.year,from.month,from.day,to.year,to.month,to.day
0,00066,2020,3,23,2020,5,24
1,00069,2020,3,23,2020,5,24
2,00072,2020,3,23,2020,5,24
3,00078,2020,3,23,2020,5,24
4,01001,2020,3,23,2020,5,24
5,01003,2020,3,23,2020,5,24
6,01005,2020,3,23,2020,5,24
7,01007,2020,3,23,2020,5,24
8,01009,2020,3,23,2020,5,24
9,01011,2020,3,23,2020,5,24
10,01013,2020,3,23,2020,5,24
11,01015,2020,3,23,2020,5,24
12,01017,2020,3,23,2020,5,24
13,01019,2020,3,23,2020,5,24
14,01021,2020,3,23,2020,5,24
15,01023,2020,3,23,2020,5,24
16,01025,2020,3,23,2020,5,24
17,01027,2020,3,23,2020,5,24
18,01029,2020,3,23,2020,5,24
19,01031,2020,3,23,2020,5,24
20,01033,2020,3,23,2020,5,24
21,01035,2020,3,23,2020,5,24
22,01037,2020,3,23,2020,5,24
23,01039,2020,3,23,2020,5,24
24,01041,2020,3,23,2020,5,24
25,01043,2020,3,23,2020,5,24
26,01045,2020,3,23,2020,5,24
27,01047,2020,3,23,2020,5,24
28,01049,2020,3,23,2020,5,24
29,01051,2020,3,23,2020,5,24
30,01053,2020,3,23,2020,5,24
31,01055,2020,3,23,2020,5,24
32,01057,2020,3,23,2020,5,24
33,01059,2020,3,23,2020,5,24
34,01061,2020,3,23,2020,5,24
35,01063,2020,3,23,2020,5,24
36,01065,2020,3,23,2020,5,24
37,01067,2020,3,23,2020,5,24
38,01069,2020,3,23,2020,5,24
39,01071,2020,3,23,2020,5,24
40,01073,2020,3,23,2020,5,24
41,01075,2020,3,23,2020,5,24
42,01077,2020,3,23,2020,5,24
43,01079,2020,3,23,2020,5,24
44,01081,2020,3,23,2020,5,24
45,01083,2020,3,23,2020,5,24
46,01085,2020,3,23,2020,5,24
47,01087,2020,3,23,2020,5,24
48,01089,2020,3,23,2020,5,24
49,01091,2020,3,23,2020,5,24
50,01093,2020,3,23,2020,5,24
51,01095,2020,3,23,2020,5,24
52,01097,2020,3,23,2020,5,24
53,01099,2020,3,23,2020,5,24
54,01101,2020,3,23,2020,5,24
55,01103,2020,3,23,2020,5,24
56,01105,2020,3,23,2020,5,24
57,01107,2020,3,23,2020,5,24
58,01109,2020,3,23,2020,5,24
59,01111,2020,3,23,2020,5,24
60,01113,2020,3,23,2020,5,24
61,01115,2020,3,23,2020,5,24
62,01117,2020,3,23,2020,5,24
63,01119,2020,3,23,2020,5,24
64,01121,2020,3,23,2020,5,24
65,01123,2020,3,23,2020,5,24
66,01125,2020,3,23,2020,5,24
67,01127,2020,3,23,2020,5,24
68,01129,2020,3,23,2020,5,24
69,01131,2020,3,23,2020,5,24
70,01133,2020,3,23,2020,5,24
71,02013,2020,3,23,2020,5,24
72,02016,2020,3,23,2020,5,24
73,02020,2020,3,23,2020,5,24
74,02050,2020,3,23,2020,5,24
75,02060,2020,3,23,2020,5,24
76,02068,2020,3,23,2020,5,24
77,02070,2020,3,23,2020,5,24
78,02090,2020,3,23,2020,5,24
79,02100,2020,3,23,2020,5,24
80,02105,2020,3,23,2020,5,24
81,02110,2020,3,23,2020,5,24
82,02122,2020,3,23,2020,5,24
83,02130,2020,3,23,2020,5,24
84,02150,2020,3,23,2020,5,24
85,02158,2020,3,23,2020,5,24
86,02164,2020,3,23,2020,5,24
87,02170,2020,3,23,2020,5,24
88,02180,2020,3,23,2020,5,24
89,02185,2020,3,23,2020,5,24
90,02188,2020,3,23,2020,5,24
91,02195,2020,3,23,2020,5,24
92,02198,2020,3,23,2020,5,24
93,02220,2020,3,23,2020,5,24
94,02230,2020,3,23,2020,5,24
95,02240,2020,3,23,2020,5,24
96,02261,2020,3,23,2020,5,24
97,02275,2020,3,23,2020,5,24
98,02282,2020,3,23,2020,5,24
99,02290,2020,3,23,2020,5,24
100,04001,2020,3,23,2020,5,24
101,04003,2020,3,23,2020,5,24
102,04005,2020,3,23,2020,5,24
103,04007,2020,3,23,2020,5,24
104,04009,2020,3,23,2020,5,24
105,04011,2020,3,23,2020,5,24
106,04012,2020,3,23,2020,5,24
107,04013,2020,3,23,2020,5,24
108,04015,2020,3,23,2020,5,24
109,04017,2020,3,23,2020,5,24
110,04019,2020,3,23,2020,5,24
111,04021,2020,3,23,2020,5,24
112,04023,2020,3,23,2020,5,24
113,04025,2020,3,23,2020,5,24
114,04027,2020,3,23,2020,5,24
115,05001,2020,3,23,2020,5,24
116,05003,2020,3,23,2020,5,24
117,05005,2020,3,23,2020,5,24
118,05007,2020,3,23,2020,5,24
119,05009,2020,3,23,2020,5,24
120,05011,2020,3,23,2020,5,24
121,05013,2020,3,23,2020,5,24
122,05015,2020,3,23,2020,5,24
123,05017,2020,3,23,2020,5,24
124,05019,2020,3,23,2020,5,24
125,05021,2020,3,23,2020,5,24
126,05023,2020,3,23,2020,5,24
127,05025,2020,3,23,2020,5,24
128,05027,2020,3,23,2020,5,24
129,05029,2020,3,23,2020,5,24
130,05031,2020,3,23,2020,5,24
131,05033,2020,3,23,2020,5,24
132,05035,2020,3,23,2020,5,24
133,05037,2020,3,23,2020,5,24
134,05039,2020,3,23,2020,5,24
135,05041,2020,3,23,2020,5,24
136,05043,2020,3,23,2020,5,24
137,05045,2020,3,23,2020,5,24
138,05047,2020,3,23,2020,5,24
139,05049,2020,3,23,2020,5,24
140,05051,2020,3,23,2020,5,24
141,05053,2020,3,23,2020,5,24
142,05055,2020,3,23,2020,5,24
143,05057,2020,3,23,2020,5,24
144,05059,2020,3,23,2020,5,24
145,05061,2020,3,23,2020,5,24
146,05063,2020,3,23,2020,5,24
147,05065,2020,3,23,2020,5,24
148,05067,2020,3,23,2020,5,24
149,05069,2020,3,23,2020,5,24
150,05071,2020,3,23,2020,5,24
151,05073,2020,3,23,2020,5,24
152,05075,2020,3,23,2020,5,24
153,05077,2020,3,23,2020,5,24
154,05079,2020,3,23,2020,5,24
155,05081,2020,3,23,2020,5,24
156,05083,2020,3,23,2020,5,24
157,05085,2020,3,23,2020,5,24
158,05087,2020,3,23,2020,5,24
159,05089,2020,3,23,2020,5,24
160,05091,2020,3,23,2020,5,24
161,05093,2020,3,23,2020,5,24
162,05095,2020,3,23,2020,5,24
163,05097,2020,3,23,2020,5,24
164,05099,2020,3,23,2020,5,24
165,05101,2020,3,23,2020,5,24
166,05103,2020,3,23,2020,5,24
167,05105,2020,3,23,2020,5,24
168,05107,2020,3,23,2020,5,24
169,05109,2020,3,23,2020,5,24
170,05111,2020,3,23,2020,5,24
171,05113,2020,3,23,2020,5,24
172,05115,2020,3,23,2020,5,24
173,05117,2020,3,23,2020,5,24
174,05119,2020,3,23,2020,5,24
175,05121,2020,3,23,2020,5,24
176,05123,2020,3,23,2020,5,24
177,05125,2020,3,23,2020,5,24
178,05127,2020,3,23,2020,5,24
179,05129,2020,3,23,2020,5,24
180,05131,2020,3,23,2020,5,24
181,05133,2020,3,23,2020,5,24
182,05135,2020,3,23,2020,5,24
183,05137,2020,3,23,2020,5,24
184,05139,2020,3,23,2020,5,24
185,05141,2020,3,23,2020,5,24
186,05143,2020,3,23,2020,5,24
187,05145,2020,3,23,2020,5,24
188,05147,2020,3,23,2020,5,24
189,05149,2020,3,23,2020,5,24
190,06001,2020,3,23,2020,5,24
191,06003,2020,3,23,2020,5,24
192,06005,2020,3,23,2020,5,24
193,06007,2020,3,23,2020,5,24
194,06009,2020,3,23,2020,5,24
195,06011,2020,3,23,2020,5,24
196,06013,2020,3,23,2020,5,24
197,06015,2020,3,23,2020,5,24
198,06017,2020,3,23,2020,5,24
199,06019,2020,3,23,2020,5,24
200,06021,2020,3,23,2020,5,24
201,06023,2020,3,23,2020,5,24
202,06025,2020,3,23,2020,5,24
203,06027,2020,3,23,2020,5,24
204,06029,2020,3,23,2020,5,24
205,06031,2020,3,23,2020,5,24
206,06033,2020,3,23,2020,5,24
207,06035,2020,3,23,2020,5,24
208,06037,2020,3,23,2020,5,24
209,06039,2020,3,23,2020,5,24
210,06041,2020,3,23,2020,5,24
211,06043,2020,3,23,2020,5,24
212,06045,2020,3,23,2020,5,24
213,06047,2020,3,23,2020,5,24
214,06049,2020,3,23,2020,5,24
215,06051,2020,3,23,2020,5,24
216,06053,2020,3,23,2020,5,24
217,06055,2020,3,23,2020,5,24
218,06057,2020,3,23,2020,5,24
219,06059,2020,3,23,2020,5,24
220,06061,2020,3,23,2020,5,24
221,06063,2020,3,23,2020,5,24
222,06065,2020,3,23,2020,5,24
223,06067,2020,3,23,2020,5,24
224,06069,2020,3,23,2020,5,24
