date,Max,Avg,Min,State
2020/2/1,56,49.2,42,Alabama
2020/2/1,30,28.7,26,Alaska
2020/2/1,78,61.4,47,Arizona 
2020/2/1,58,46.6,36, Arkansas
2020/2/1,64,49.1,42,California
2020/2/1,67,50.6,35,Colorado
2020/2/1,37,33.8,29,Connecticut 
2020/2/1,46,37.4,31,Delaware
2020/2/1,52,46.8,39,Florida
2020/2/1,50,44.6,40,Georgia
2020/2/1,83,74.5,69,Hawaii
2020/2/1,52,44.3,34,Idaho
2020/2/1,39,35.9,34,Illinois
2020/2/1,42,36.7,34,Indiana
2020/2/1,41,36.1,32,Iowa
2020/2/1,59,40.4,24,Kansas
2020/2/1,41,37.4,33,Kentucky
2020/2/1,60,50.2,41,Louisiana
2020/2/1,35,30.6,27,Maine
2020/2/1,48,38.2,30,Maryland
2020/2/1,40,38.1,35,Massachusetts
2020/2/1,34,32.3,29,Michigan
2020/2/1,38,33.1,27,Minnesota
2020/2/1,57,46.3,36,Mississippi 
2020/2/1,45,37.1,33,Missouri
2020/2/1,64,51.8,39,Montana
2020/2/1,48,37.6,23,Nebraska 
2020/2/1,72,47.8,29,Nevada
2020/2/1,38,34.6,32,New Hampshire
2020/2/1,42,38.7,37,New Jersey
2020/2/1,56,37.6,27,New Mexico
2020/2/1,41,38.6,37,New York
2020/2/1,45,40.6,37,North Carolina
2020/2/1,48,38,26,North Dakota
2020/2/1,38,34.9,32,Ohio
2020/2/1,64,45.2,28,Oklahoma
2020/2/1,56,49,41,Oregon
2020/2/1,53,45.2,38,Wyoming
2020/2/1,37,34.1,32,Wisconsin
2020/2/1,42,40.1,39,West Virginia
2020/2/1,53,48.1,37,Washington
2020/2/1,50,42.6,38,Virginia
2020/2/1,32,28,26,Vermont
2020/2/1,53,40.1,32,Utah
2020/2/1,74,51.5,34,Texas
2020/2/1,48,45.3,36,Tennessee
2020/2/1,54,41.6,29,South Dakota
2020/2/1,52,44.1,40,South Carolina
2020/2/1,40,35.4,30,Rhode Island
2020/2/1,44,36.6,29,Pennsylvania
2020/2/2,69,51.8,35,Alabama
2020/2/2,29,23.6,16,Alaska
2020/2/2,78,64.3,52,Arizona 
2020/2/2,73,55.5,39, Arkansas
2020/2/2,58,48.9,39,California
2020/2/2,74,52.9,30,Colorado
2020/2/2,42,35.4,30,Connecticut 
2020/2/2,43,38.5,34,Delaware
2020/2/2,65,49.1,33,Florida
2020/2/2,66,50.6,36,Georgia
2020/2/2,83,74.5,67,Hawaii
2020/2/2,37,32.8,28,Idaho
2020/2/2,59,45,35,Illinois
2020/2/2,63,46.3,33,Indiana
2020/2/2,53,42.6,35,Iowa
2020/2/2,70,49.1,31,Kansas
2020/2/2,61,45.4,31,Kentucky
2020/2/2,74,56.3,38,Louisiana
2020/2/2,36,30.6,26,Maine
2020/2/2,52,41.1,33,Maryland
2020/2/2,42,39.4,37,Massachusetts
2020/2/2,48,38,32,Michigan
2020/2/2,45,39.6,31,Minnesota
2020/2/2,73,53.6,36,Mississippi 
2020/2/2,67,51.7,41,Missouri
2020/2/2,38,31.3,22,Montana
2020/2/2,64,46.2,31,Nebraska 
2020/2/2,56,39.5,27,Nevada
2020/2/2,38,34.4,29,New Hampshire
2020/2/2,43,36.6,34,New Jersey
2020/2/2,56,40.6,28,New Mexico
2020/2/2,43,38.1,35,New York
2020/2/2,63,48.9,33,North Carolina
2020/2/2,44,35.7,30,North Dakota
2020/2/2,61,45.5,34,Ohio
2020/2/2,75,56.7,40,Oklahoma
2020/2/2,47,37.9,30,Oregon
2020/2/2,66,42.9,26,Wyoming
2020/2/2,50,41.9,31,Wisconsin
2020/2/2,62,48.9,38,West Virginia
2020/2/2,44,38.1,33,Washington
2020/2/2,58,47.7,33,Virginia
2020/2/2,33,28.8,25,Vermont
2020/2/2,48,38.9,29,Utah
2020/2/2,77,56.3,34,Texas
2020/2/2,70,53.2,35,Tennessee
2020/2/2,47,39.7,32,South Dakota
2020/2/2,64,51.3,37,South Carolina
