state,beds,2019,State,Latitude,Longitude
Alaska,4.789014,731545.0,AK,61.3025006,-158.7750198
Alabama,11.967593,4903185.0,AL,32.601011199999995,-86.6807365
Arkansas,8.403947,3017804.0,AR,34.7519275,-92.13137840000002
Arizona,2.050268,7278717.0,AZ,34.1682185,-111.930907
California,8.182707000000004,39512223.0,CA,37.2718745,-119.2704153
Colorado,4.159082000000001,5758736.0,CO,38.9979339,-105.55056699999999
Connecticut,2.1574180000000003,3565287.0,CT,41.518783500000005,-72.75750699999999
District of Columbia,0.46698999999999996,705749.0,DC,38.899348700000004,-77.0145666
Delaware,0.558183,973764.0,DE,39.145251,-75.41892059999999
Florida,12.315424999999998,21477737.0,FL,27.9757279,-83.8330166
Georgia,20.157662,10617423.0,GA,32.6781248,-83.22297569999999
Hawaii,0.520208,1415872.0,HI,20.46,-157.505
Iowa,4.386061,3155070.0,IA,41.9383166,-93.389798
Idaho,2.516173,1787065.0,ID,45.4945756,-114.1424303
Illinois,9.060000999999998,12671821.0,IL,39.739318,-89.504139
Indiana,11.234091000000003,6732219.0,IN,39.7662195,-86.441277
Kansas,6.782206,2913314.0,KS,38.4987789,-98.32007790000002
Kentucky,16.519195000000003,4467673.0,KY,37.8222935,-85.76823990000001
Louisiana,9.872175000000004,4648794.0,LA,30.9733766,-91.42990970000001
Massachusetts,2.144799,6892503.0,MA,42.062939799999995,-71.718067
Maryland,3.5089600000000005,6045680.0,MD,38.806352399999994,-77.2684162
Maine,27.528035999999993,1344212.0,ME,45.2185133,-69.0148656
Michigan,11.808354999999999,9986857.0,MI,44.9435598,-86.41580490000001
Minnesota,5.6581290000000015,5639632.0,MN,46.4418595,-93.3655146
Missouri,10.781061,6137428.0,MO,38.3046615,-92.437099
Mississippi,11.363654,2976149.0,MS,32.5851062,-89.8772196
Montana,3.571003,1068778.0,MT,46.6797995,-110.04478300000001
North Carolina,15.006824999999997,10488084.0,NC,35.2145629,-79.8912675
North Dakota,1.8007659999999999,762062.0,ND,47.467881899999995,-100.3022655
Nebraska,4.385605000000001,1934408.0,NE,41.5008195,-99.680902
New Hampshire,1.937659,1359711.0,NH,44.00123060000001,-71.57992309999999
New Jersey,5.34243,8882190.0,NJ,40.1430058,-74.7311156
New Mexico,2.960478,2096829.0,NM,34.1662325,-106.02606850000001
Nevada,1.7480190000000002,3080156.0,NV,38.502032,-117.0230604
New York,8.382213,19453561.0,NY,43.0,-75.0
Ohio,11.948555,11689100.0,OH,40.1903624,-82.6692525
Oklahoma,7.896220999999998,3956971.0,OK,35.309765399999996,-98.71655849999999
Oregon,3.407778,4217737.0,OR,44.1419049,-120.5380993
Pennsylvania,14.260609999999998,12801989.0,PA,40.99459279999999,-77.6046984
Rhode Island,0.720353,1059361.0,RI,41.5827282,-71.5064508
South Carolina,7.9504730000000015,5148714.0,SC,33.62505,-80.9470381
South Dakota,2.378135,884659.0,SD,44.2126995,-100.24716409999999
Tennessee,12.886517,6829174.0,TN,35.830521000000005,-85.97859890000001
Texas,27.502458,28995881.0,TX,31.1693363,-100.0768425
Utah,2.7133589999999996,3205958.0,UT,39.4997605,-111.547028
Virginia,25.94782200000001,8535519.0,VA,38.0033855,-79.4587861
Vermont,1.019483,623989.0,VT,43.8717545,-72.4477828
Washington,2.4950579999999998,7614893.0,WA,47.0,-120.0
Wisconsin,8.461719999999998,5822434.0,WI,44.7862968,-89.82670490000001
West Virginia,8.690671999999998,1792147.0,WV,38.920170500000005,-80.1816905
Wyoming,2.163612,578759.0,WY,43.000325,-107.5545669
